COQUIMBO,04102
COCHRANE,11301
LOS ALAMOS,08206
QUINTA DE TILCOCO,06114
CHIGUAYANTE,08103
YUMBEL,08313
LA LIGUA,05401
NOGALES,05506
SANTA BARBARA,08311
PENALOLEN,13122
CARTAGENA,05603
LA REINA,13113
CABRERO,08303
CABO DE HORNOS (EX NAVARINO),12201
FREIRINA,03303
SANTA JUANA,08109
RIO VERDE,12103
CALDERA,03102
CALAMA,02201
CANETE,08203
PICA,01405
EL TABO,05605
SAN BERNARDO,13401
INDEPENDENCIA,13108
LAS CONDES,13114
RIO BUENO,14204
PENAFLOR,13605
RANCAGUA,06101
OLMUE,05803
PUENTE ALTO,13201
SAN PEDRO DE LA PAZ,08108
OLLAGUE,02202
LA CISTERNA,13109
SAN FELIPE,05701
MAIPU,13119
PUNTA ARENAS,12101
PAPUDO,05403
LO ESPEJO,13116
ARAUCO,08202
PUNITAQUI,04304
NAVARINO,12201
TIRUA,08207
QUILLOTA,05501
PUYEHUE,10304
QUINTERO,05107
PITRUFQUEN,09114
MALLOA,06109
CASABLANCA,05102
GRANEROS,06106
LOS MUERMOS,10106
CORRAL,14102
POZO ALMONTE,01401
LA ESTRELLA,06202
NUEVA IMPERIAL,09111
HUALANE,07302
REQUINOA,06116
ILLAPEL,04201
SANTA MARIA,05706
CURACAUTIN,09203
ZAPALLAR,05405
PUTAENDO,05705
MARCHIHUE,06204
LLANQUIHUE,10107
SAN PEDRO DE ATACAMA,02203
ANTOFAGASTA,02101
PUQUELDON,10206
TREGUACO,08420
LA CRUZ,05504
NUNOA,13120
SAN VICENTE,06117
SAN VICENTE DE TAGUA TAGUA,06117
CAMARONES,15102
SAN JOSE DE MAIPO,13203
SALAMANCA,04204
LAS CABRAS,06107
QUILLON,08413
LOS ANDES,05301
VICUNA,04106
LIMACHE,05802
TILTIL,13303
PEDRO AGUIRRE CERDA,13121
MONTE PATRIA,04303
NACIMIENTO,08306
PUCHUNCAVI,05105
GALVARINO,09106
CONCEPCION,08101
SAN ROSENDO,08310
SAN RAFAEL,07110
RIO CLARO,07108
COELEMU,08404
CUNCO,09103
VILCUN,09119
LLAY-LLAY,05703
MARCHIGUE,06204
